RECEIPT_ID,PURCHASE_DATE,SCAN_DATE,STORE_NAME,USER_ID,BARCODE,FINAL_QUANTITY,FINAL_SALE
0001455d-7a92-4a7b-a1d2-c747af1c8fd3,2024-07-20,2024-07-20 09:50:24.206,ALDI,62c08877baa38d1a1f6c211a,78742223759.0,1.0,1.49
000239aa-3478-453d-801e-66a82e39c8af,2024-06-18,2024-06-19 11:03:37.468,FOOD LION,63fcd7cea4f8442c3386b589,783399746536.0,1.0,3.49
0002d8cd-1701-4cdd-a524-b70402e2dbc0,2024-06-24,2024-06-24 19:44:54.247,WALMART,5dcc6c510040a012b8e76924,681131411295.0,1.0,1.46
00096c49-8b04-42f9-88ce-941c5e06c4a7,2024-08-19,2024-08-21 17:35:21.902,TARGET,6144f4f1f3ef696919f54b5c,78300069942.0,1.0,3.59
0019ec79-cbb3-41ed-b84c-cd74d04553f8,2024-06-25,2024-06-25 13:15:31.270,COSTCO,5c62145dba25631369c28f32,51500247051.0,1.0,10.99
001f2f3f-1746-4217-a98f-73c63c63bae2,2024-08-20,2024-08-22 12:53:37.811,WALMART,5f57cc80a2b29216020fc68d,46000288697.0,1.0,0.97
0028d0d0-f8c5-4160-8ee6-e5b089167788,2024-08-27,2024-08-27 17:18:23.675,WALMART,5ec16e6fd474d413da264f52,787651420677.0,1.0,7.48
00336a75-8219-4192-9c9e-c7f7a999a36d,2024-07-27,2024-08-07 12:14:36.833,FAMILY DOLLAR,665dc8fae04f743a096d1810,42037102838.0,1.0,5.25
003ea357-0ef3-4411-bd33-5f21cd71069c,2024-07-27,2024-07-28 15:54:24.283,KROGER,648b91e85da6e4734208e8de,79200504588.0,1.0,1.25
00496cd0-c7ad-408e-8f8f-9e02c58686c1,2024-08-14,2024-08-14 14:52:45.054,WALMART,646ccd2d7a342372c857db67,72250011372.0,1.0,2.92
005417b0-38ba-4324-80c6-a5fe6fa8e1c9,2024-08-16,2024-08-26 06:16:41.780,WALMART,61cbca431a3acd27c1b1fe42,79200717834.0,1.0,3.67
005518d2-82d4-4823-a6f6-c7f935b9fb63,2024-08-10,2024-08-10 14:25:29.453,IGA,63a382b6b5f32149b9d70ea8,311111772428.0,1.0,1.39
00563a29-2c72-4410-bff6-485b7ed36bb7,2024-07-04,2024-07-12 11:29:21.765,WALMART,5fa77f895efb041284ac728e,41500007007.0,1.0,1.38
005aca9a-4764-4bbe-a8b1-019c44882f15,2024-08-10,2024-08-10 15:15:55.510,WALMART,647ccae4a55bb77a0e28c6d6,12000171529.0,1.0,4.18
0061eb83-cedf-49cb-a45e-ea9d70419cd4,2024-08-26,2024-08-26 14:41:11.298,DOLLAR GENERAL STORE,645c078c9f7c516a13f573fc,28400002561.0,1.0,0.5
0063f1a2-bc74-47b9-9419-78194967b209,2024-06-30,2024-07-05 01:25:40.943,WALMART,6095d80ea1973237227afee0,78742027227.0,1.0,2.68
